"name","review","rating"
"EDP TEA SERIES EAU DE PARFUM ","Seneng belnja disini, ramah banget barangnya dipantau kaya dijagain gtu dari mulai packing sampai kerumah terus dikabrin, wanginya enak greentea bnget, ngg terlalu manis wanginya, seger kalo panas siang hari tuh malah enak, ngg pusing , pokonya suka deh","5"
"EDP TEA SERIES EAU DE PARFUM ","ternyata aroma teratas sangat kuat, orange dan lemonnya kuat bgt seperti pengharum mobil hehe kyanya bakal aku pake buat pengharum ruangan aja wkwk tea nya malah kya ga berasa aromanya barang dikirim sesuai pesanan, sampai dg aman, bubblewrap tebal bgt","5"
"EDP TEA SERIES EAU DE PARFUM ","enak bgt wanginya, pengiriman cepat, packaging aman, thx seller","5"
"EDP TEA SERIES EAU DE PARFUM ","Wanginya enak yg white tea tp ga ada unsur tehnya, malah lebih menonjol wangi citrus. Green tea wanginya enak setelah dipakai, wangi segar mirip citrus gitu","5"
"EDP TEA SERIES EAU DE PARFUM ","Fresh banget, wanginya tahan lama, spray nya saat dipake langsung nyebar, ketahanan wanginya lumayan lama,","5"
"EDP TEA SERIES EAU DE PARFUM ","wanginya enak banget agak powdery gitu. lumayan tahan lama kurang lebih 10 jam an. packagingnya bagus banget ada aksen kayunya. nanti kalo udah abis aku bakal beli lagi. terima kasih yaaa :)","5"
"EDP TEA SERIES EAU DE PARFUM ","Packagingnya bagus banget. Keliatan mewah. Cocok banget untuk dijadiin kado","5"
"EDP TEA SERIES EAU DE PARFUM ","Dipake indoor maupun outdoor Karena wanginya yg nggk terlalu mencolok","5"
"EDP TEA SERIES EAU DE PARFUM ","Wangi tehnya menenangkan, ketahanan wangi sekitar 3 jam, re-apply untuk mempertahankan wangi. Botolnya unik","5"
"EDP TEA SERIES EAU DE PARFUM ","yang White Tea Kirain baunya white flower powdery, taunya Stella jeruk plek ketiplek. Openingnya harsh khas parfum mart. kalau Green Tea  Low budget Elisabeth Arden dengan performa weak sampe skin scent. Notenya green citrucy. Untuk harga 89k untuk 50ml, dengan kualitas gini kurang worth it. Karena parfume dupes macam La Rive 100ml 150k scent quality lebih ok.","3"
"EDP TEA SERIES EAU DE PARFUM ","Parfum paling dibenci, mon maap ga ada white tea white tea. Cenderung mirip bau stella jeruk. Malah bikin enek Sejak kapan miniso punya parfum se seaneh itu aromanya. Omg...","3"
"EDP TEA SERIES EAU DE PARFUM ","Jujur wangi nya mirip stella jeruk. Tapi yaa tetep enak aja sih","3"
"EDP TEA SERIES EAU DE PARFUM ","Bau pewangi ruangan, kurang suka, maaf","3"
"EDP TEA SERIES EAU DE PARFUM ","Baunya dominan lemon bukan tea","3"
"EDP TEA SERIES EAU DE PARFUM ","Beli mahal2 malah bocor parfum nya Smpi sini tinggal botol kosong deh Kecewa bgt","2"
"EDP TEA SERIES EAU DE PARFUM ","baunya nyengat bgt, kek pengharum ruangan. gaada bau2 tehnya, lebih ke asem lemon dan citrus. bikin puyengg","1"
"Green Tea Perfume  ","Untuk parfume nya, wanginya lembut dan segar namun juga sedikit manis. Suka banget🥰 Pengemasannya sangat baik dan aman👍👍👍 Pengirimannya juga lumayan cepat.","4"
"Green Tea Perfume  ","Di deskripsi kayaknya masih kurang lengkap soal deskripsi wanginya. Ternyata wanginya nggak ""greentea"" banget yaa. Udah berekspektasi tinggi ternyata nggak sama hehe. Agak ketar katir solanya isi parfum kok packingnya cuma plastik, walaupun ada buble wrap tebel tadi nggak ada tulisan barang pecah. Kalo misal barang pecah di tengah jalan apa gimana","4"
"Green Tea Perfume  ","Ternyata gak terlalu enak aromanya, ga terlalu suka😂 tapi packing nya bagus produk aman 👍🏻","4"
"Green Tea Perfume  ","Wangi awal agak tercium alkohol, dry downnya cukup enak. Fresh, seperti ada wangi timun. Untuk wangi teh tidak terlalu dominan","4"
"Green Tea Perfume  ","Aromanya kok ga jelas gini ya... Kyknya Krn kebanyakan alkohol.","2"
